Num	Catégorie	Intitulé	Langue	Durée	Prix	Lien Mega	Premier Lien Mega
1	Programming	Javascript algorithms fundamentals	Français	03:00 min	20000 Fcfa	NON	
2	Programming	Css and css3 techniques	Français	03:00 min	20000 Fcfa	NON	
3	Transport	Sorcier de l'ecom - batx premium (2023)	Français	07:03 min	0 Fcfa	OUI	https://mega.nz/embed/oRYFBKTQ#7djzB2ebhjRIsH1lCXfngcfCGHXRvO1ahwhZS7UT3SA!1a
4	Transport	Drop shipping		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/cQoQ3YgI#4QBADArxlgxh1izIer1gXNnEk3hwOMjpn5tftXdqorI!1a
5	Transport	Comment s'enrichir avec un business en ligne 2023	Français	00:03 min	0 Fcfa	OUI	https://mega.nz/embed/8UIkRSBD#G2m-u6VZR_5C2BWX2YdYIXmjaOLqwDRK-nH8XKgNoMs!1a
6	Transport	Comment gagner de l'argent avec l'achat revente sur vinted	Français	03:36 min	0 Fcfa	OUI	https://mega.nz/embed/ZU41CYIB#RDsqPdseVhj_iR5DrSlu_RHnNCN7aavTothnWimUUz0!1a
7	Sport	Vidéos d'exécution	Français	00:03 min	0 Fcfa	OUI	https://mega.nz/embed/4URGXTjb#T-rYPJIBi3v8qXTPp5Em48iArdPF5oQyF7JQPPPrqBA!1a
8	Sport	Fit-mass one lite	Français	10:05 min	0 Fcfa	OUI	https://mega.nz/embed/ZMw0wAwA#rV4aNaJATdYI2Z3fa-KOLMo1RtrTNrCnpEpDT15W8LQ!1a
9	Sport	Fit-mass one	Français	02:01 min	0 Fcfa	OUI	https://mega.nz/embed/tUIXURSI#JYmLX8aAa5NqAQ9umAfg7JQfBXEAaokqWirFgkTnaXY!1a
10	Sport	Bodypump 127	Français	01:50 min	0 Fcfa	OUI	https://mega.nz/embed/wchDDQwL#iZsfo8BnSxwOriF8wD_ygwmUJ_1bIM_YlRM39DG2KD8!1a
11	Sport	Activite sportive	Français	04:05 min	0 Fcfa	OUI	https://mega.nz/embed/IQwVRahK#zQzAchUHVBntVgQHcTuTl0jViUGbJefxHDpr1KthpeY!1a
12	Reseau	Tout savoir des réseaux informatiques en quelques heures	Français	03:05 min	0 Fcfa	OUI	https://mega.nz/embed/xBAECCAK#VQmJ7GjdwVc33EygOjGLN-aahaGpk-wJvBMzE2DlHdM!1a
13	Reseau	Sécurité internet mots de passe les conseils pratiques	Français	05:00 min	0 Fcfa	OUI	https://mega.nz/embed/BJAixYqK#6dbEFXTeRPu1HpXzMplR_zipVPX9Hzbl6AedG4EIe38!1a
14	Reseau	Maîtrisez l'art de l'analyse du trafic réseau (soc analyst)	Français	05:00 min	0 Fcfa	OUI	https://mega.nz/embed/1ZQxXabB#duo3qNGJKzsUzFjm2aDZ85rVUOZWyOXhPghmbdPub7k!1a
15	Reseau	L'essentiel de vmware vsphere	Français	03:00 min	0 Fcfa	OUI	https://mega.nz/embed/oYQyBaiI#9ldGKnN7nLW4EAMT2HuJkbvrjjAxlYatsj_eagrt1YA!1a
16	Reseau	Kubernetes unleashed	Français	05:00 min	0 Fcfa	OUI	https://mega.nz/embed/gRpxzTCQ#gWBvHhnkVa6PY0x9gYpcD-fZbD_abDsR0dKIqIFane0!1a
17	Reseau	Fortigate security		03:00 min	0 Fcfa	NON	
18	Reseau	Formation ccnp encor 350-401 (18) commutation	Français	05:00 min	0 Fcfa	OUI	https://mega.nz/embed/FZAQ3A4K#GGDyW2QzLToHLdpr1F_YQ8T4RCY46aw3ZpCBLkuquMo!1a
19	Reseau	Comprendre et configurer un firewall	Français	00:36 min	0 Fcfa	OUI	https://mega.nz/embed/cBI3mKhD#85NxNoqY_fFBP5t3mKenlCewKTfQYMDDMVu36-Jz16g!1a
20	Reseau	Surveiller votre réseau efficacement avec cacti [2025]	Français	09:00 min	0 Fcfa	OUI	https://mega.nz/embed/0AwxUaQa#M8_iP9rSopEFNgf-6fdsuwkxeM9m14ydbK8nq6Rbd04!1a
21	Reseau	Les fondements des réseaux - le dépannage par la pratique	Français	06:00 min	0 Fcfa	OUI	https://mega.nz/embed/RQZkwTza#-VsTHDKK_3EMgWzCU2STZ9P0gQQmf8W5tmRy4rDtRGc!1a
22	Reseau	Formation ccnp encor 350-401 (28) routage	Français	02:00 min	0 Fcfa	OUI	https://mega.nz/embed/kcgxTbZL#KnxHLGvzUih0kMiJPW-aWRqcc0DEcbaPYb13XIS3z08!1a
23	Reseau	Fondements des réseaux informatiques et configuration avancé (2024)	Français	05:03 min	0 Fcfa	OUI	https://mega.nz/embed/ocBURTwQ#VP-DXbrmpitmyVDJjoURO6BHV0mRgdQTQbZWo2CYm3s!1a
24	Reseau	Fondamentaux de la sécurité pour comptia security+ 2024	Français	03:00 min	0 Fcfa	OUI	https://mega.nz/embed/QJIEmQyY#v5CYIq_604toBZXIcYm0SWXRdKCF3ntQNefh6MBFOjk!1a
25	Reseau	Analyse et détection d'attaques pour les analysts soc	Français	05:00 min	0 Fcfa	OUI	https://mega.nz/embed/RV5EFSST#gi5i5_MDDDNuB9C4LqmsIw7AFKSc-ybDYAXRmH7sZjM!1a
26	Reseau	Administrer un routeur mikrotik	Français	09:35 min	0 Fcfa	OUI	https://mega.nz/embed/cUwBBCyL#Dt06ofVvCPtR6gEvnYM-hW8QzskE_tV1n74T8Z844rI!1a
27	Informatique programmation	Wordpress la personnalisation de thèmes	Français	00:00 min	0 Fcfa	OUI	https://mega.nz/embed/1V5lyA5Q#rczDrSAX7CoMK3xCUUpT3UiczPHcFHOOo-PFrkj4REo!1a
28	Informatique programmation	Wordpress migration, sauvegarde et restauration	Français	01:02 min	0 Fcfa	OUI	https://mega.nz/embed/ABYTDLLK#pNUklVo6NyZXRRhdK-uXh09w3mmlm9uMJ-UlM9XXqss!1a
29	Informatique programmation	Wifi hacking-le cours complet		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/hJgjGaDK#eWITdEANawGUw2FqYfh9b8swf9YCB6IrSOf4pghZOSM!1a
30	Informatique programmation	Vue 3 par la pratique		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/VNRmWDBS#ZibNtc1R_aUVoRNf8jcK4wv2y8lGvEBd2hoLx28S8Kw!1a
31	Informatique programmation	Unreal engine 5 guide complet développeur de jeux 2023		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/hdwQEbiC#Voi6f6oX28yosbt4P-f4wwCjdO18Ydl1XQ9sJXKpEKE!1a
32	Informatique programmation	Starter windev - pour débutant		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/JIg2zZgR#FPwfy-hxktsezgBZh8j_Fg-RdYLAqT2_rPQJ6om1zno!1a
33	Informatique programmation	Starter windev poo (les classes)		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/IRRGhb6b#fUsc_IAORGjK72yTe-1sVBdLoZ3aRdKum64WlN81kdo!1a
34	Informatique programmation	Python pour la poo programmation orientée objet en python		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/URAgGDgY#IHrQ0jTbLz37XNyKHqgGhYgxdPzbcPiwHDUVt6idX8o!1a
35	Informatique programmation	Programmation orientée objet en java	Français	03:00 min	0 Fcfa	NON	
36	Informatique programmation	Power bi du tableau de bord à l'application		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/dYAyTK6Y#43-_zGMqpvQBDUd2r0fvjtGHL6QEevRfSLJALSDZA6Y!1a
37	Informatique programmation	Power apps - créer des applications pas à pas		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/8Z4GGAgS#Lr462wZCPMKqZWUbFgGiwqrhAZqWrJ_PzhcJ5ztADa8!1a
38	Informatique programmation	Pack ultime de développement web 2023 (5 cours en 1) + 23h		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/4IJ2lAgD#chmH1ymB6iAM9UOYs-6EuWcEFmP4ZBq36WZh2bsfKeQ!1a
39	Informatique programmation	Maîtriser macos 14 sonoma		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/tFoj1DRB#lRMtNYNBzAWB2js21lAIfkZDyL7MpoQ9JEoI0yVJD_s!1a
40	Informatique programmation	Le langage vba de la théorie à un projet concret		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/IFRBhTIb#9_99Z0wjrrkJ2WWQJtJRNhORMc50cxhqV4D0y-_P8tU!1a
